Timestamp,ECG_Data
3.9858,305.0000
3.9878,310.0000
4.0023,318.0000
4.0225,332.0000
4.0404,349.0000
4.0626,363.0000
4.0980,358.0000
4.1036,327.0000
4.1240,307.0000
4.1427,307.0000
4.1833,305.0000
4.1858,307.0000
4.2041,311.0000
4.2273,319.0000
4.2477,319.0000
4.2640,320.0000
4.2841,321.0000
4.3207,320.0000
4.3242,322.0000
4.3464,335.0000
4.3663,362.0000
4.3861,327.0000
4.4052,316.0000
4.4406,314.0000
4.4463,314.0000
4.4820,270.0000
4.4883,631.0000
4.5102,646.0000
4.5296,319.0000
4.5490,284.0000
4.5685,285.0000
4.5905,291.0000
4.6258,299.0000
4.6311,305.0000
4.6532,315.0000
4.6688,326.0000
4.6901,346.0000
4.7107,363.0000
4.7296,358.0000
4.7784,331.0000
4.7796,312.0000
4.7901,305.0000
4.8121,302.0000
4.8484,308.0000
4.8522,316.0000
4.8904,315.0000
4.8917,321.0000
4.9255,322.0000
4.9456,320.0000
4.9536,319.0000
4.9923,320.0000
4.9970,335.0000
5.0178,358.0000
5.0385,336.0000
5.0576,321.0000
5.0777,314.0000
5.0938,316.0000
5.1312,297.0000
5.1345,398.0000
5.1724,657.0000
5.1759,268.0000
5.1973,274.0000
5.2185,281.0000
5.2363,290.0000
5.2591,297.0000
5.2775,302.0000
5.3166,313.0000
5.3182,324.0000
5.3570,340.0000
5.3585,354.0000
5.3977,362.0000
5.4024,342.0000
5.4409,315.0000
5.4426,304.0000
5.4798,306.0000
5.4842,308.0000
5.5033,313.0000
5.5183,317.0000
5.5621,320.0000
5.5633,321.0000
5.5817,319.0000
5.6009,319.0000
5.6238,321.0000
5.6585,320.0000
5.7062,335.0000
5.7070,349.0000
5.7075,344.0000
5.7238,328.0000
5.7452,319.0000
5.7835,315.0000
5.7851,313.0000
5.8221,355.0000
5.8247,649.0000
5.8628,376.0000
5.8832,304.0000
5.8868,292.0000
5.9248,299.0000
5.9260,307.0000
5.9477,310.0000
5.9674,317.0000
5.9863,328.0000
6.0233,343.0000
6.0266,359.0000
6.0631,362.0000
6.0838,348.0000
6.0892,323.0000
6.1080,313.0000
6.1463,314.0000
6.1488,315.0000
6.1691,317.0000
6.1921,318.0000
6.2113,321.0000
6.2609,324.0000
6.2624,324.0000
6.2830,327.0000
6.2919,321.0000
6.3152,323.0000
6.3346,338.0000
6.3506,354.0000
6.3726,348.0000
6.3909,324.0000
6.4330,315.0000
6.4345,315.0000
6.4539,308.0000
6.4742,346.0000
6.5112,658.0000
6.5140,303.0000
6.5510,292.0000
6.5547,291.0000
6.5938,297.0000
6.5967,299.0000
6.6174,307.0000
6.6391,318.0000
6.6595,325.0000
6.6798,342.0000
6.6990,359.0000
6.7352,364.0000
6.7412,346.0000
6.7573,323.0000
6.7933,307.0000
6.7969,307.0000
6.8347,307.0000
6.8367,314.0000
6.8735,318.0000
6.8926,319.0000
6.8995,321.0000
6.9388,321.0000
6.9398,315.0000
6.9760,316.0000
6.9944,318.0000
7.0026,317.0000
7.0395,321.0000
7.0427,323.0000
7.0642,333.0000
7.1024,348.0000
7.1039,359.0000
7.1504,331.0000
7.1516,316.0000
7.1718,321.0000
7.1841,320.0000
7.2037,295.0000
7.2237,658.0000
7.2440,424.0000
7.2637,329.0000
7.3021,303.0000
7.3035,297.0000
7.3261,298.0000
7.3450,304.0000
7.3981,315.0000
7.3998,322.0000
7.4076,335.0000
7.4306,358.0000
7.4482,366.0000
7.4693,361.0000
7.4902,331.0000
7.5103,310.0000
7.5337,308.0000
7.5522,311.0000
7.5895,310.0000
7.5914,315.0000
7.6083,316.0000
7.6302,319.0000
7.6513,318.0000
7.6718,321.0000
7.6919,321.0000
7.7099,319.0000
7.7456,319.0000
7.7664,320.0000
7.7720,322.0000
7.8082,321.0000
7.8280,324.0000
7.8341,325.0000
7.8714,334.0000
7.8742,337.0000
7.9153,348.0000
7.9444,337.0000
7.9453,320.0000
7.9573,319.0000
7.9762,298.0000
8.0150,448.0000
8.0158,659.0000
8.0354,254.0000
8.0569,274.0000
8.0766,284.0000
8.1121,295.0000
8.1141,300.0000
8.1551,306.0000
8.1565,315.0000
8.1932,331.0000
8.1964,341.0000
8.2345,360.0000
8.2376,365.0000
8.2742,345.0000
8.2948,319.0000
8.2997,309.0000
8.3217,307.0000
8.3417,306.0000
8.3623,311.0000
8.3832,316.0000
8.4040,314.0000
8.4195,313.0000
8.4399,314.0000
8.4603,316.0000
8.4834,315.0000
8.5005,319.0000
8.5214,319.0000
8.5439,317.0000
8.5637,320.0000
8.5845,320.0000
8.6045,322.0000
8.6252,323.0000
8.6466,340.0000
8.6664,346.0000
8.6873,323.0000
8.7078,322.0000
8.7277,324.0000
8.7475,326.0000
8.7691,325.0000
8.7896,657.0000
8.8106,406.0000
8.8303,307.0000
8.8472,298.0000
8.8682,300.0000
8.8877,308.0000
8.9073,313.0000
8.9269,317.0000
8.9500,326.0000
8.9696,339.0000
8.9906,358.0000
9.0259,369.0000
9.0296,358.0000
9.0506,328.0000
9.0703,314.0000
9.0911,308.0000
9.1285,307.0000
9.1335,312.0000
9.1718,315.0000
9.1734,320.0000
9.1938,323.0000
9.2316,322.0000
9.2326,317.0000
9.2513,320.0000
9.2720,321.0000
9.2916,322.0000
9.3265,318.0000
9.3469,319.0000
9.3542,321.0000
9.3924,322.0000
9.3945,336.0000
9.4144,350.0000
9.4539,350.0000
9.4552,336.0000
9.4896,317.0000
9.5097,315.0000
9.5183,307.0000
9.5390,379.0000
9.5609,658.0000
9.5786,265.0000
9.5995,285.0000
9.6199,288.0000
9.6583,289.0000
9.6601,297.0000
9.6785,304.0000
9.6976,311.0000
9.7377,321.0000
9.7392,337.0000
9.7763,355.0000
9.7772,366.0000
9.8131,350.0000
9.8336,320.0000
9.8409,304.0000
9.8771,303.0000
9.8963,303.0000
9.9022,306.0000
9.9217,310.0000
9.9434,313.0000
9.9797,315.0000
10.0111,313.0000
10.0127,313.0000
10.0253,315.0000
10.0724,313.0000
10.0737,316.0000
10.0889,318.0000
10.1047,320.0000
10.1231,323.0000
10.1436,323.0000
10.1667,341.0000
10.1835,353.0000
10.2276,324.0000
10.2288,320.0000
10.2455,319.0000
10.2668,322.0000
10.2865,277.0000
10.3075,634.0000
10.3524,605.0000
10.3539,319.0000
10.3687,291.0000
10.3891,288.0000
10.4286,296.0000
10.4298,301.0000
10.4657,311.0000
10.4849,319.0000
10.4927,329.0000
10.5108,350.0000
10.5286,364.0000
10.5487,365.0000
10.5861,341.0000
10.5896,314.0000
10.6272,307.0000
10.6289,306.0000
10.6768,309.0000
10.6779,310.0000
10.6988,311.0000
10.7141,316.0000
10.7342,316.0000
10.7555,316.0000
10.7761,313.0000
10.7965,320.0000
10.8198,319.0000
10.8353,318.0000
10.8582,318.0000
10.8746,332.0000
10.9266,354.0000
10.9278,327.0000
10.9347,318.0000
10.9558,315.0000
10.9775,316.0000
10.9966,290.0000
11.0352,481.0000
11.0362,594.0000
11.0707,316.0000
11.0911,295.0000
11.1042,291.0000
11.1216,298.0000
11.1403,300.0000
11.1762,307.0000
11.1770,317.0000
11.2137,330.0000
11.2339,347.0000
11.2432,360.0000
11.2647,365.0000
11.2821,340.0000
11.3183,321.0000
11.3230,307.0000
11.3410,307.0000
11.3595,308.0000
11.3815,309.0000
11.4021,311.0000
11.4222,316.0000
11.4448,316.0000
11.4630,312.0000
11.4995,310.0000
11.5027,313.0000
11.5247,310.0000
11.5451,323.0000
11.5641,346.0000
11.6027,340.0000
11.6043,316.0000
11.6264,309.0000
11.6654,307.0000
11.6669,306.0000
11.7044,344.0000
11.7080,658.0000
11.7441,288.0000
11.7646,284.0000
11.7653,290.0000
11.8033,293.0000
11.8079,302.0000
11.8258,307.0000
11.8633,317.0000
11.8841,328.0000
11.8868,340.0000
11.9235,358.0000
11.9294,368.0000
11.9500,352.0000
11.9869,326.0000
11.9903,312.0000
12.0117,307.0000
